match,match_weight,repo_full_name,repo_html_url,repo_id
MS14-058,6.285157600326828e-06,scmanjarrez/CVEScannerV2DB,https://github.com/scmanjarrez/CVEScannerV2DB,394995609
MS14-058,4.694835680751174e-05,offensive-security/exploitdb,https://github.com/offensive-security/exploitdb,14902556
MS14-058,8.664009703690868e-05,sepehrdaddev/packetstorm-exploits,https://github.com/sepehrdaddev/packetstorm-exploits,271076842
MS14-058,0.0002133560913164071,rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,2293158
MS14-058,0.0002134016218523261,ru-faraon/metasploit-framework,https://github.com/ru-faraon/metasploit-framework,372254030
MS14-058,0.00021482277121374866,talentsec/metasploit,https://github.com/talentsec/metasploit,370253962
MS14-058,0.00026490066225165563,hahwul/mad-metasploit,https://github.com/hahwul/mad-metasploit,102696209
MS14-058,0.0003074085459575776,AlanFoster/metasploit-docs-spike,https://github.com/AlanFoster/metasploit-docs-spike,262667812
MS14-058,0.0015772870662460567,insightglacier/Dictionary-Of-Pentesting,https://github.com/insightglacier/Dictionary-Of-Pentesting,290509547
MS14-058,0.0034602076124567475,asr511/windows-kernel-exploits,https://github.com/asr511/windows-kernel-exploits,400130573
MS14-058,0.0038910505836575876,Mr-xn/Penetration_Testing_POC,https://github.com/Mr-xn/Penetration_Testing_POC,198552685
MS14-058,0.00411522633744856,offensive-security/exploitdb-papers,https://github.com/offensive-security/exploitdb-papers,111840859
MS14-058,0.005847953216374269,AonCyberLabs/Windows-Exploit-Suggester,https://github.com/AonCyberLabs/Windows-Exploit-Suggester,21613236
MS14-058,0.02,yzddmr6/As-Exploits,https://github.com/yzddmr6/As-Exploits,312134883
MS14-058,0.027777777777777776,r00t-3xp10it/venom,https://github.com/r00t-3xp10it/venom,73909976
MS14-058,0.07142857142857142,nettitude/PoshC2,https://github.com/nettitude/PoshC2,141987967
